Start Date,Strategy Code,Strategy Name,Sharpe 1/N,Sharpe ERC,Sharpe MinVar
2017-08-01,1,ERC,2.1273,3.935,0.0396
2017-09-01,1,ERC,4.5694,4.6275,0.937
2017-10-02,1,ERC,4.4014,4.4288,0.8006
2017-11-01,1,ERC,4.7771,4.8265,0.1019
2017-12-01,2,MinVar,0.2337,-0.5118,0.3804
2018-01-02,2,MinVar,-0.7974,-0.2175,0.2728
2018-02-01,0,1/N,-1.2195,-1.2195,-1.3638
2018-03-01,0,1/N,0.9889,0.9889,0.6706
2018-04-02,0,1/N,1.7152,0.0329,0.4926
2018-05-01,0,1/N,1.2274,1.1659,0.9882
2018-06-01,1,ERC,0.6598,3.0997,-0.1819
2018-07-02,1,ERC,1.819,3.0711,0.8966
2018-08-01,2,MinVar,-0.698,-1.4275,-0.0227
2018-09-04,2,MinVar,-1.4375,-2.0881,0.1367
2018-10-01,2,MinVar,-3.2869,-1.776,0.1893
2018-11-01,2,MinVar,-0.221,0.6094,2.2868
2018-12-03,1,ERC,0.5855,1.0693,0.6349
2019-01-02,0,1/N,4.5068,4.4173,1.2099
2019-02-01,1,ERC,3.3455,4.9194,0.7871
2019-03-01,2,MinVar,-0.3575,-0.2479,0.8071
2019-04-01,1,ERC,1.2529,3.4495,1.7707
