Date,Daily ROR,Index Value
03/29/2017,0.0848%,758.37
03/28/2017,0.2883%,757.73
03/27/2017,-0.3728%,755.55
03/24/2017,0.0911%,758.38
03/23/2017,0.1161%,757.69
03/22/2017,-0.7277%,756.81
03/21/2017,0.3904%,762.36
03/20/2017,-0.0104%,759.39
03/17/2017,0.2408%,759.47
03/16/2017,0.1921%,757.65
03/15/2017,-0.2628%,756.2
03/14/2017,0.2769%,758.19
03/13/2017,-0.1442%,756.1
03/10/2017,0.1839%,757.19
03/09/2017,-0.607%,755.8
03/08/2017,0.2117%,760.41
03/07/2017,-0.0117%,758.81
03/06/2017,0.204%,758.89
03/03/2017,-0.42%,757.35
03/02/2017,0.4071%,760.54
03/01/2017,-0.3276%,757.46
02/28/2017,0.9046%,759.95
02/27/2017,-0.4612%,753.14
02/24/2017,-0.0537%,756.63
02/23/2017,-0.3928%,757.03
02/22/2017,0.4202%,760.02
02/21/2017,0.1141%,756.84
02/17/2017,-0.1727%,755.98
02/16/2017,0.0321%,757.28
02/15/2017,0.0457%,757.04
02/14/2017,-0.2374%,756.69
02/13/2017,0.2006%,758.5
02/10/2017,0.2691%,756.98
02/09/2017,0.004%,754.95
02/08/2017,-0.3009%,754.92
02/07/2017,0.0572%,757.19
02/06/2017,0.7486%,756.76
02/03/2017,-0.235%,751.14
02/02/2017,0.2956%,752.91
02/01/2017,0.3389%,750.69
01/31/2017,-0.5483%,748.15
01/30/2017,0.1592%,752.28
01/27/2017,-0.0449%,751.08
01/26/2017,0.1343%,751.42
01/25/2017,0.2952%,750.41
01/24/2017,-0.2259%,748.2
01/23/2017,0.0114%,749.9
01/20/2017,0.0216%,749.81
01/19/2017,0.2649%,749.65
01/18/2017,-0.2131%,747.67
01/17/2017,0.229%,749.27
01/13/2017,0.0231%,747.55
01/12/2017,0.1255%,747.38
01/11/2017,0.2629%,746.45
01/10/2017,0.4515%,744.49
01/09/2017,-0.2812%,741.14
01/06/2017,0.2228%,743.23
